id,title_id,organization_type,organization_name,full_name,position,phone,start_date,end_date,order_number,order_date,is_responsible,notes,created_at,updated_at,is_active,sync_source,workers_count
285,4,contractor,майкадам,майкадам,ИТР,,2026-07-20,2026-07-24,,,f,,2026-07-20 09:51:59.574127+00,2026-07-25 10:18:01.66407+00,t,qa,1
286,4,contractor,майкадам,майкадам,Рабочий,,2026-07-20,2026-07-24,,,f,,2026-07-20 09:51:59.653542+00,2026-07-25 10:18:01.66407+00,t,qa,1
293,4,contractor,Майкадам,Майкадам ИТР,ИТР,,2026-07-25,,,,f,,2026-07-25 10:51:12.736266+00,2026-07-25 10:51:12.736266+00,t,manual,1
294,4,contractor,Майкадам,Майкадам Рабочий 1,Рабочий,,2026-07-25,,,,f,,2026-07-25 10:51:12.736266+00,2026-07-25 10:51:12.736266+00,t,manual,1
295,4,contractor,Майкадам,Майкадам Рабочий 2,Рабочий,,2026-07-25,,,,f,,2026-07-25 10:51:12.736266+00,2026-07-25 10:51:12.736266+00,t,manual,1
296,4,contractor,Майкадам,Майкадам Рабочий 3,Рабочий,,2026-07-25,,,,f,,2026-07-25 10:51:12.736266+00,2026-07-25 10:51:12.736266+00,t,manual,1
297,4,contractor,Майкадам,Майкадам Рабочий 4,Рабочий,,2026-07-25,,,,f,,2026-07-25 10:51:12.736266+00,2026-07-25 10:51:12.736266+00,t,manual,1
325,4,contractor,майкадам,майкадам,ИТР,,2026-07-26,2026-07-26,,,f,,2026-07-26 09:23:09.016491+00,2026-07-27 09:33:30.892834+00,t,qa,1
340,4,contractor,майкадам,Майкадам ИТР,ИТР,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
341,4,contractor,майкадам,Майкадам Рабочий 1,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
342,4,contractor,майкадам,Майкадам Рабочий 2,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
343,4,contractor,майкадам,Майкадам Рабочий 3,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
344,4,contractor,майкадам,Майкадам Рабочий 4,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
345,4,contractor,майкадам,Майкадам Рабочий 5,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
346,4,contractor,майкадам,Майкадам Рабочий 6,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
347,4,contractor,майкадам,Майкадам Рабочий 7,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
348,4,contractor,майкадам,Майкадам Рабочий 8,Рабочий,,2026-07-27,,,,f,,2026-07-27 10:15:02.042088+00,2026-07-27 10:15:02.042088+00,t,manual,1
